t,time,p,AGL,alt,KAGL,KMF,diff,ax,ay,az,gx,gy,gz,roll,pitch,RAM,Launch,Apo,Land
159431,0,95127.21,0,531.65,0,532.08,0,1.58,-0.02,-0.07,183.78,3.86,2.88,-164.29,-87.22,571,1,0,0
159466,0.035,95114.25,0.82,532.47,0,532.08,0,1.7,-0.05,-0.05,216.35,5.43,3.67,-136.1,-87.56,571,1,0,0
159500,0.069,95116.33,0.64,532.29,0,532.08,0,1.74,-0.04,-0.1,247.29,4.76,3.75,-156.81,-86.4,571,1,0,0
159535,0.104,95112.42,0.74,532.39,0,532.08,0,1.87,-0.01,-0.17,249.99,6.03,5.06,-178.16,-84.94,571,1,0,0
159569,0.138,95122.28,0.18,531.83,0,532.08,0,2,-0.01,-0.19,249.99,6.66,8.13,-178,-84.65,571,1,0,0
159604,0.173,95121.22,0.21,531.86,0,532.08,0,2,-0.06,-0.29,249.99,8.57,6.98,-168.66,-81.47,571,1,0,0
159636,0.205,95119.49,0.36,532.01,0,532.08,0,2,-0.05,-0.2,249.99,7.21,5.78,-166.52,-84.09,571,1,0,0
159672,0.241,95127.21,-0.31,531.34,0,532.08,0,2,-0.04,0.07,249.99,6.77,-0.66,-30.69,-87.53,571,1,0,0
159707,0.276,95126.83,0.18,531.83,0,532.08,0,1.93,-0.09,-0.19,249.99,6.2,-2.49,-155.94,-83.78,571,1,0,0
159741,0.31,95138.43,-1.3,530.35,0,532.08,-0.01,2,-0.19,-0.28,249.99,4.93,2.48,-146.03,-80.52,571,1,0,0
159776,0.345,95138.43,-1.3,530.35,-0.01,532.07,0,2,-0.11,-0.16,249.99,1.71,1.58,-147.27,-84.41,571,1,0,0
159815,0.384,95133.89,-0.9,530.75,-0.01,532.07,-0.01,2,-0.08,0.06,249.99,19.51,10.51,-54.68,-87.15,571,1,0,0
159850,0.419,95129.64,-0.53,531.12,-0.02,532.06,0,2,-0.16,0.02,249.99,23.44,18.49,-83.08,-85.49,571,1,0,0
159885,0.454,95132.44,-0.53,531.12,-0.02,532.06,0,2,-0.16,0.26,249.99,54.91,25.29,-31.04,-81.24,571,1,0,0
159920,0.489,95129.64,-0.53,531.12,-0.02,532.06,0,2,-0.21,0.35,249.99,84.75,30.3,-31.79,-78.5,571,1,0,0
159954,0.523,95129.64,-0.53,531.12,-0.02,532.06,0,2,-0.17,0.26,249.99,110.69,30.23,-33.97,-81.19,571,1,0,0
159989,0.558,95121.6,0.18,531.83,-0.02,532.06,0,2,-0.2,0.19,246.6,137.03,28.34,-46.53,-82.24,571,1,0,0
160028,0.597,95115.61,0.7,532.35,-0.02,532.06,0,2,-0.25,0.13,231.99,163.52,23.7,-61.82,-81.96,571,1,0,0
160063,0.632,95110,1.23,532.88,-0.02,532.06,0,2,-0.22,0.17,221.13,186.17,16.93,-52.66,-82.22,571,1,0,0
160098,0.667,95100.48,2.03,533.68,-0.02,532.06,0.01,2,-0.28,0.07,235.16,204.54,9.91,-75.11,-81.76,571,1,0,0
160142,0.711,95109.25,1.26,532.91,-0.01,532.07,0,2,-0.39,0.08,249.99,226.54,-4.26,-78.38,-78.84,571,1,0,0
160177,0.746,95084.94,3.39,535.04,-0.01,532.07,0.01,2,-0.53,0.02,249.99,239.23,-25.63,-88.02,-75.23,571,1,0,0
160216,0.785,95081.41,3.7,535.35,0,532.08,0.02,2,-0.7,0.14,249.99,242.19,-69.02,-78.68,-70.37,571,1,0,0
160250,0.819,95028.33,7.24,538.89,0.02,532.1,0.04,2,-0.86,0.04,249.99,217.23,-124.82,-87.61,-66.66,571,1,0,0
160285,0.854,95006.88,10.24,541.89,0.06,532.14,0.03,2,-0.87,0.18,249.99,162.66,-177.38,-78.52,-66.05,571,1,0,0
160320,0.889,94998.08,11.01,542.66,0.09,532.17,0.05,2,-0.74,0.17,249.99,101.58,-203.22,-77.02,-69.11,571,1,0,0
160355,0.924,94959.41,12.68,544.33,0.14,532.22,0.05,2,-0.7,0.46,249.99,65.48,-203.99,-56.82,-67.37,571,1,0,0
160390,0.959,94977.58,12.81,544.46,0.19,532.27,0.06,2,-0.76,0.42,218.51,56.32,-193.74,-61.17,-66.61,571,1,0,0
160430,0.999,94948.42,13.33,544.98,0.25,532.33,0.07,2,-0.87,0.54,165.04,62.21,-180.89,-58.02,-62.81,571,1,0,0
160464,1.033,94970.12,13.46,545.11,0.32,532.4,0.08,2,-0.81,0.54,144.25,71.6,-170.32,-56.54,-63.99,571,1,0,0
160499,1.068,94963.41,14.05,545.7,0.4,532.48,0.09,2,-0.82,0.39,64.61,75.73,-158.95,-64.39,-65.46,571,1,0,0
160534,1.103,94971.08,13.77,545.42,0.49,532.57,0.1,2,-0.71,0.53,47.52,90.38,-145.74,-53.05,-66.14,571,1,0,0
160569,1.138,94961.6,14.21,545.86,0.59,532.67,0.13,2,-0.7,0.45,27.65,105.41,-137.31,-57.45,-67.48,571,1,0,0
160605,1.174,94935.25,16.52,548.17,0.72,532.8,0.14,1.8,-0.74,0.12,-47.59,121.14,-129.92,-80.99,-67.57,571,1,0,0
160644,1.213,94950,15.23,546.88,0.86,532.94,0.15,1.5,-0.85,-0.05,-250,138.04,-102.8,-93.37,-60.55,571,1,0,0
160678,1.247,94952.42,15.01,546.66,1.01,533.09,0.1,1.27,-0.84,-0.4,-250,146.77,-57.79,-115.36,-53.86,571,1,0,0
160713,1.282,95021.85,9.63,541.28,1.11,533.19,0.06,1.02,-0.75,-0.59,-250,148.62,-2.01,-128.55,-46.91,571,1,0,0
160852,1.421,95038.04,7.54,539.19,1.17,533.25,-0.01,0.89,-0.54,-0.67,-250,145.68,45.96,-141,-46.03,571,1,0,0
160888,1.457,95108.78,1.3,532.95,1.16,533.24,0.14,0.53,-0.63,-0.8,249.99,156.9,33.06,-141.74,-27.34,571,1,0,0
160928,1.497,94992.53,11.49,543.14,1.3,533.38,0.24,0.51,-1.29,-0.38,249.99,174.81,-19.56,-106.44,-20.78,571,1,0,0
160964,1.533,94887.88,18.22,549.87,1.54,533.62,0.29,0.46,-1.23,-0.35,249.99,152.73,-93.92,-105.74,-19.86,571,1,0,0
161000,1.569,94907.38,18.97,550.62,1.83,533.91,0.27,0.33,-0.89,-0.28,249.99,88.24,-154.03,-107.72,-19.58,571,1,0,0
161036,1.605,94942.37,15.9,547.55,2.1,534.18,0.27,0.25,-0.81,0.22,249.99,31.24,-169.44,-74.86,-16.88,571,1,0,0
161072,1.641,94955.91,14.67,546.32,2.37,534.45,0.28,0.21,-0.67,0.36,249.99,-11.09,-175.97,-61.59,-15.38,571,1,0,0
161106,1.675,94957.24,14.59,546.24,2.65,534.73,0.28,0.15,-0.51,0.45,249.99,-41.56,-169.28,-48.6,-12.78,571,1,0,0
161145,1.714,94966.26,13.8,545.45,2.93,535.01,0.28,0.08,-0.44,0.77,249.99,-98.7,-118,-29.72,-4.83,571,1,0,0
161180,1.749,94967.97,13.65,545.3,3.21,535.29,0.28,0.02,-0.26,0.56,249.99,-134.35,-55.56,-25.04,-2.1,571,1,0,0
161216,1.785,94975.28,12.94,544.59,3.49,535.57,0.28,0.03,0.04,0.21,249.99,-140.4,35.75,10.04,-6.71,571,1,0,0
161251,1.82,94979.42,12.65,544.3,3.77,535.85,0.29,0.06,0.33,0.04,249.99,-104.66,105.48,83.47,-10.04,571,1,0,0
161286,1.855,94975.86,12.96,544.61,4.06,536.14,0.02,0.08,0.28,-0.15,249.99,-59.39,139.83,118.72,-13.7,571,1,0,0
161325,1.894,95064.14,5.22,536.87,4.08,536.16,0.06,0.22,0.03,-0.56,249.99,-8.32,144,177.17,-21.07,571,1,0,0
161359,1.928,95052.57,6.23,537.88,4.14,536.22,0.1,0.15,-0.06,-0.53,249.99,88.21,97.07,-173.27,-15.63,571,1,0,0
161394,1.963,95045.86,7.62,539.27,4.24,536.32,0.15,0.13,-0.16,-0.56,249.99,114.95,75.94,-164.22,-12.95,571,1,0,0
161429,1.998,95021.96,8.91,540.56,4.39,536.47,0.22,0.12,-0.37,-0.45,249.99,122.92,25.02,-140.5,-11.73,571,1,0,0
161465,2.034,94993.16,11.44,543.09,4.61,536.69,0.23,0.11,-0.52,-0.22,249.99,120.42,-13.66,-113.39,-11.33,571,1,0,0
161500,2.069,94992.46,11.81,543.46,4.84,536.92,0.17,0.09,-0.41,-0.2,249.99,97.88,-53.42,-116.02,-11.82,571,1,0,0
161546,2.115,95007.82,10.15,541.8,5.01,537.09,0.21,0.06,-0.23,-0.02,249.99,61.94,-85.03,-94.24,-15.51,571,1,0,0
161581,2.15,95001.83,11.17,542.82,5.22,537.3,0.13,0.05,-0.15,0.04,249.99,33.56,-96.51,-75.58,-16.56,571,1,0,0
161615,2.184,95018.66,9.2,540.85,5.35,537.43,0.14,0.03,-0.04,0.01,249.99,1.82,-103.62,-81.83,-37.04,571,1,0,0
161650,2.219,95015.1,9.51,541.16,5.49,537.57,0.16,0.04,0.04,0.01,249.99,-35.24,-75.81,81.98,-46.84,571,1,0,0
161685,2.254,95006.32,10.29,541.94,5.65,537.73,0.05,0.03,0.09,-0.06,249.99,-72.36,-60.25,124.9,-16.9,571,1,0,0
161724,2.293,95038.89,7.43,539.08,5.7,537.78,0.03,0.03,0.1,-0.24,249.99,-101.32,-32.41,158.59,-7.15,571,1,0,0
161759,2.328,95047.66,7.15,538.8,5.73,537.81,-0.01,0.05,0.05,-0.29,249.99,-124.25,-3.11,171.08,-9.71,571,1,0,0
161794,2.363,95055.72,5.95,537.6,5.72,537.8,0,0.07,-0.03,-0.34,249.99,-105.18,29.53,-175.77,-11.59,571,1,0,0
161829,2.398,95055.35,5.99,537.64,5.72,537.8,0.01,0.07,-0.25,-0.32,249.99,-103.06,71.26,-141.57,-9.58,571,1,0,0
162072,2.641,95027.68,8.41,540.06,5.73,537.81,0.2,0.09,-0.36,-0.32,249.99,-80.14,107.54,-131.95,-10.68,571,1,0,0
162108,2.677,94990.85,12.38,544.03,5.93,538.01,0.23,0.1,-0.15,0.74,249.99,176.91,27.37,-11.34,-7.3,571,1,0,0
162148,2.717,94968.42,13.61,545.26,6.16,538.24,0.21,0.11,0.04,0.71,249.99,160.82,-35.87,3.27,-8.65,571,1,0,0
162193,2.762,94976.46,12.9,544.55,6.37,538.45,0.23,0.08,0.4,0.36,249.99,116.71,-90.71,48.13,-8.67,571,1,0,0
162227,2.796,94970.13,13.46,545.11,6.6,538.68,0.16,0.04,0.55,0.24,249.99,70.96,-114.89,66.6,-3.52,571,1,0,0
162262,2.831,94991.8,11.56,543.21,6.76,538.84,0.12,0.02,0.62,0.03,249.99,21.29,-125.23,86.9,-1.51,571,1,0,0
162295,2.864,95042.28,10.57,542.22,6.88,538.96,-0.77,-0.02,0.49,-0.25,249.99,-43.25,-124.47,116.77,1.92,571,1,0,0
162538,3.107,95076.39,4.14,535.79,6.11,538.19,-0.04,0,0.36,-1.28,249.99,-88.97,-96.04,164.38,-0.03,571,1,1,0
162577,3.146,95059.94,5.58,537.23,6.07,538.15,-0.04,0.08,-0.25,0.56,249.99,113.54,-2.35,-24.49,-7.9,571,1,1,0
162612,3.181,95064.1,5.43,537.08,6.03,538.11,-0.09,-0.01,-0.01,0.4,249.99,50.93,-62.74,-1.02,1.16,571,1,1,0
162647,3.216,95079.8,3.84,535.49,5.94,538.02,-0.14,-0.01,0.42,-0.11,249.99,5.55,-63.58,104.64,1.76,571,1,1,0
162681,3.25,95095.9,2.43,534.08,5.8,537.88,-0.26,-0.05,0.3,-0.41,249.99,-45.12,-48.19,143.45,5.79,571,1,1,0
162716,3.285,95132.71,-0.79,530.86,5.54,537.62,-537.62,-0.04,-0.02,-0.71,249.99,-87.44,-14.98,-178.41,3.28,571,1,1,0
162716,3.3,95132.71,-0.79,530.86,5.54,537.62,-537.62,-0.04,-0.02,-0.71,249.99,-87.44,-14.98,-178.41,3.28,571,1,1,1
